Wall time,Step,Value
1602230753.537241,0,24127.884765625
1602230844.429247,1,700.6990356445312
1602230937.813779,2,353.27410888671875
1602231030.457317,3,225.20008850097656
1602231129.425795,4,262.9217834472656
1602231227.59749,5,169.7467803955078
1602231325.308186,6,162.83856201171875
1602231420.21543,7,157.39381408691406
1602231514.721784,8,601.153076171875
1602231610.835328,9,291.93359375
1602231706.61915,10,227.0793914794922
1602231801.079433,11,430.0113830566406
1602231895.056503,12,129.927978515625
1602231987.836067,13,309.4609375
1602232079.059666,14,201.5830841064453
1602232171.587153,15,715.0543212890625
1602232265.048444,16,139.61880493164062
1602232360.30227,17,968.707275390625
1602232454.69196,18,156.37857055664062
1602232549.024083,19,400.00592041015625
1602232644.126876,20,357.550537109375
1602232740.273953,21,288.3537902832031
1602232835.023291,22,867.7060546875
1602232931.071675,23,159.7713165283203
1602233022.436353,24,423.68609619140625
1602233111.656398,25,1056.822021484375
1602233206.141127,26,290.807861328125
1602233302.708982,27,520.6616821289062
1602233398.236719,28,179.837646484375
1602233490.842186,29,591.8656005859375
1602233584.645591,30,272.0163269042969
1602233676.927468,31,214.9178009033203
1602233770.687792,32,191.69264221191406
1602233861.547869,33,525.7523803710938
1602233952.365873,34,144.26821899414062
1602234044.251021,35,477.9154357910156
1602234136.467015,36,519.6864013671875
1602234228.938934,37,277.3888244628906
1602234319.880476,38,209.9188690185547
1602234411.094455,39,334.3284606933594
1602234503.638838,40,944.387939453125
1602234596.068186,41,256.6697692871094
1602234686.146034,42,85.62866973876953
1602234775.893197,43,108.35921478271484
1602234865.985969,44,41.5457878112793
1602234955.397329,45,32.958892822265625
1602235045.497505,46,27.641883850097656
1602235135.125561,47,24.828487396240234
1602235224.909243,48,25.198246002197266
1602235315.275615,49,21.2111873626709
