Wall time,Step,Value
1602227066.380807,0,0.8374999761581421
1602227067.216326,1,0.9006333351135254
1602227068.013872,2,0.9101999998092651
1602227068.819818,3,0.9142000079154968
1602227069.601475,4,0.9150333404541016
1602227070.364265,5,0.9171500205993652
1602227071.199294,6,0.9193166494369507
1602227072.025632,7,0.9195500016212463
1602227072.843477,8,0.921833336353302
1602227073.617584,9,0.9226166605949402
1602227074.382649,10,0.9218500256538391
1602227075.16089,11,0.9229666590690613
1602227075.944415,12,0.9238166809082031
1602227076.731334,13,0.9242833256721497
1602227077.506378,14,0.9246166944503784
1602227078.282969,15,0.9252333045005798
1602227079.085707,16,0.9253333210945129
1602227079.885775,17,0.9259499907493591
1602227080.67195,18,0.9263666868209839
1602227081.473131,19,0.9264500141143799
1602227082.268871,20,0.9266999959945679
1602227083.058965,21,0.9264833331108093
1602227083.86974,22,0.9267500042915344
1602227084.672946,23,0.927299976348877
1602227085.469185,24,0.926800012588501
1602227086.257183,25,0.9278166890144348
1602227087.059643,26,0.9282333254814148
1602227087.864444,27,0.9280833601951599
1602227088.669686,28,0.9275333285331726
1602227089.459594,29,0.9278333187103271
1602227090.259425,30,0.9282166957855225
1602227091.079149,31,0.9284999966621399
1602227091.88262,32,0.9291999936103821
1602227092.676278,33,0.9287999868392944
1602227093.480449,34,0.9284499883651733
1602227094.275332,35,0.9290333390235901
1602227095.144554,36,0.9298333525657654
1602227095.934377,37,0.9290000200271606
1602227096.757176,38,0.9287833571434021
1602227097.579074,39,0.9296333193778992
1602227098.401709,40,0.9296833276748657
1602227099.236116,41,0.9294666647911072
1602227100.071819,42,0.9295833110809326
1602227100.951916,43,0.9302666783332825
1602227101.844564,44,0.9301333427429199
1602227102.944406,45,0.9301000237464905
1602227103.832854,46,0.9304166436195374
1602227104.641548,47,0.9291999936103821
1602227105.549832,48,0.9287999868392944
1602227106.487046,49,0.9306666851043701
1602227107.303797,50,0.930233359336853
1602227108.080741,51,0.9297999739646912
1602227108.955034,52,0.9312499761581421
1602227109.823862,53,0.9305999875068665
1602227110.684346,54,0.9294000267982483
1602227111.516307,55,0.9307166934013367
1602227112.312389,56,0.9300666451454163
1602227113.140201,57,0.9306833148002625
1602227113.965384,58,0.930816650390625
1602227114.791216,59,0.9303333163261414
1602227115.592762,60,0.9307500123977661
1602227116.403553,61,0.9311000108718872
1602227117.22369,62,0.9307000041007996
1602227118.037136,63,0.9311666488647461
1602227118.845182,64,0.9307833313941956
1602227119.629975,65,0.9306333065032959
1602227120.4575,66,0.9312833547592163
1602227121.296282,67,0.9312833547592163
1602227122.142509,68,0.9305166602134705
1602227122.989134,69,0.930816650390625
1602227123.791575,70,0.931683361530304
1602227124.60286,71,0.9312499761581421
1602227125.393982,72,0.9314000010490417
1602227126.246654,73,0.9315500259399414
1602227127.066356,74,0.9310500025749207
1602227128.041548,75,0.9321333169937134
1602227130.029724,76,0.9313499927520752
1602227130.970661,77,0.930983304977417
1602227131.848328,78,0.9312000274658203
1602227132.682858,79,0.9313666820526123
1602227133.4602,80,0.9311500191688538
1602227134.462239,81,0.9308833479881287
1602227135.576513,82,0.9315500259399414
1602227137.220327,83,0.9319333434104919
1602227138.129918,84,0.9301666617393494
1602227138.945535,85,0.930983304977417
1602227139.74978,86,0.930899977684021
1602227140.635205,87,0.9319166541099548
1602227141.56266,88,0.9319499731063843
1602227142.387047,89,0.9327499866485596
1602227143.230707,90,0.9312833547592163
1602227144.040756,91,0.9316999912261963
1602227144.8342,92,0.9322500228881836
1602227145.722998,93,0.9321333169937134
1602227146.570325,94,0.9318166375160217
1602227147.461286,95,0.9320166707038879
1602227148.358596,96,0.9312000274658203
1602227149.894334,97,0.9330833554267883
1602227150.855306,98,0.9321500062942505
1602227151.653481,99,0.9316333532333374
