Wall time,Step,Value
1602226687.027736,0,42681.1015625
1602226700.410305,1,1854.322265625
1602226713.478689,2,23.41872215270996
1602226726.815828,3,23.651548385620117
1602226739.894856,4,204.8713836669922
1602226752.636404,5,31.525144577026367
1602226765.579184,6,24.391969680786133
1602226778.34937,7,24.39565086364746
1602226791.462661,8,23.680490493774414
1602226804.54011,9,22.953306198120117
1602226817.772164,10,22.41213035583496
1602226829.902075,11,122.42256164550781
1602226842.690792,12,32.096946716308594
1602226855.313974,13,30.440505981445312
1602226867.934487,14,28.842304229736328
1602226880.376777,15,27.422504425048828
1602226892.381796,16,25.785554885864258
1602226904.369482,17,24.348363876342773
1602226916.54519,18,22.88233757019043
1602226928.909072,19,21.43265724182129
1602226941.060029,20,19.860395431518555
1602226952.998454,21,18.317392349243164
1602226965.219575,22,17.02216148376465
1602226977.558219,23,15.554190635681152
1602226989.407086,24,14.145713806152344
1602227001.604785,25,12.882065773010254
1602227013.729192,26,11.779313087463379
1602227025.835426,27,10.923066139221191
1602227037.780565,28,10.135108947753906
1602227049.705011,29,9.574112892150879
1602227061.607848,30,9.089378356933594
1602227073.552641,31,8.49792766571045
1602227084.951178,32,8.182103157043457
1602227096.219049,33,7.776800155639648
1602227107.794636,34,7.516444206237793
1602227119.731129,35,7.306514739990234
1602227131.555745,36,7.1684956550598145
1602227142.880547,37,7.346451759338379
1602227155.04944,38,7.407311916351318
1602227167.270964,39,7.0487446784973145
1602227179.501859,40,7.328577041625977
1602227191.417319,41,7.063846588134766
1602227203.524667,42,7.158167362213135
1602227215.506875,43,7.116535663604736
1602227227.768018,44,7.3873395919799805
1602227240.197522,45,7.288957118988037
1602227252.451832,46,7.31162166595459
1602227264.928657,47,7.702033996582031
1602227276.773364,48,6.943151473999023
1602227288.984905,49,7.4762654304504395
