Wall time,Step,Value
1602240323.951384,0,11.86587142944336
1602240325.671178,1,10.971223831176758
1602240327.364456,2,10.014132499694824
1602240329.073673,3,10.178669929504395
1602240330.806518,4,11.205820083618164
1602240332.539286,5,10.847342491149902
1602240334.278603,6,10.758072853088379
1602240335.994399,7,11.046655654907227
1602240337.770443,8,10.86330509185791
1602240339.555525,9,10.806888580322266
1602240341.26045,10,10.223835945129395
1602240343.018183,11,10.968253135681152
1602240344.809647,12,10.932991027832031
1602240346.530823,13,10.760601043701172
1602240348.300729,14,10.767830848693848
1602240350.334047,15,11.00890064239502
1602240352.377502,16,10.531829833984375
1602240354.103882,17,10.699828147888184
1602240355.930217,18,10.630093574523926
1602240357.862854,19,11.388404846191406
1602240359.650055,20,10.488991737365723
1602240361.446274,21,10.386295318603516
1602240363.199723,22,10.610650062561035
1602240364.968717,23,11.211128234863281
1602240366.884014,24,11.262447357177734
1602240368.675118,25,11.300780296325684
1602240370.395342,26,10.803722381591797
1602240372.109767,27,10.461421966552734
1602240373.868684,28,10.500232696533203
1602240375.791942,29,10.720035552978516
1602240377.570364,30,10.943510055541992
1602240379.461896,31,10.837233543395996
1602240381.328155,32,10.555580139160156
1602240383.104693,33,10.477788925170898
1602240384.862306,34,10.44286823272705
1602240386.611765,35,11.115391731262207
1602240388.368153,36,10.935429573059082
1602240390.100162,37,10.368017196655273
1602240391.871711,38,10.806266784667969
1602240393.641821,39,11.13276481628418
1602240395.440742,40,10.260710716247559
1602240397.401737,41,10.885828018188477
1602240399.48789,42,10.680368423461914
1602240401.448428,43,10.49592399597168
1602240403.203385,44,11.843465805053711
1602240405.20163,45,11.020136833190918
1602240407.084923,46,10.482255935668945
1602240408.848673,47,11.27677059173584
1602240410.984559,48,11.02385425567627
1602240412.726545,49,10.978923797607422
1602240414.403269,50,10.62275505065918
1602240416.10645,51,11.411511421203613
1602240417.857466,52,11.312561988830566
1602240419.814252,53,10.760796546936035
1602240421.886718,54,10.888313293457031
1602240423.770644,55,10.72729206085205
1602240425.717078,56,10.378702163696289
1602240427.526628,57,10.979959487915039
1602240429.413888,58,10.669489860534668
1602240432.570929,59,11.125301361083984
1602240434.647932,60,11.169123649597168
1602240436.530165,61,10.124321937561035
1602240440.672959,62,10.868956565856934
1602240443.140029,63,11.385507583618164
1602240445.35059,64,10.699625968933105
1602240447.663157,65,10.861595153808594
1602240449.472754,66,11.246967315673828
1602240452.264034,67,10.39288330078125
1602240455.387327,68,10.684328079223633
1602240458.744701,69,10.975777626037598
1602240462.731347,70,10.951626777648926
1602240464.787632,71,10.76732349395752
1602240466.97083,72,10.718713760375977
1602240468.788219,73,10.512356758117676
1602240472.058723,74,10.502617835998535
1602240474.252198,75,10.618119239807129
1602240476.076359,76,11.182548522949219
1602240478.043734,77,10.227546691894531
1602240480.013769,78,11.007868766784668
1602240481.799467,79,10.74094009399414
1602240483.689346,80,11.212522506713867
1602240485.979066,81,11.894850730895996
1602240488.050413,82,10.77770709991455
1602240490.06633,83,11.128096580505371
1602240491.90808,84,10.465768814086914
1602240493.641893,85,10.620807647705078
1602240495.445279,86,10.695472717285156
1602240497.191506,87,11.309062004089355
1602240499.335239,88,10.822736740112305
1602240501.228984,89,10.50421142578125
1602240503.136058,90,10.878652572631836
1602240504.94885,91,10.178954124450684
1602240506.882937,92,11.558525085449219
1602240508.830625,93,11.00398063659668
1602240510.972232,94,10.501381874084473
1602240513.17497,95,10.760139465332031
1602240515.592571,96,10.976099014282227
1602240517.5877,97,11.03149700164795
1602240519.384657,98,10.194535255432129
1602240521.587245,99,11.332640647888184
